한글 단어,발음,영어 단어,난이도
쉬다,swi-da,Rest,0.4
쉽다,swip-da,Easy,0.4
스릴러,seu-ril-leo,Thriller,0.4
스케치,seu-ke-chi,Sketch,0.4
슬프다,seul-peu-da,Sad,0.5
승무원,seung-mu-won,Flight Attendant,0.4
신뢰하다,shin-roi-ha-da,Trust,0.6
실수하다,sil-su-ha-da,Make a mistake,0.7
싫다,sil-da,Dislike,0.4
심판,sim-pan,Referee,0.4
싸다,ssa-da,Cheap,0.4
싸우다,ssa-u-da,Fight,0.6
아나운서,a-na-un-seo,Announcer,0.4
아름답다,a-reum-dap-da,Beautiful,0.5
아프다,a-peu-da,Hurt,0.4
약사,yak-sa,Pharmacist,0.3
약속,yak-sok,Promise,0.4
어렵다,eo-ryeop-da,Difficult,0.6
언론인,eon-ron-in,Journalist,0.4
여행,yeo-haeng,Travel,0.4
여행가,yeo-haeng-ga,Traveler,0.4
연극,yeon-geuk,Theater,0.3
연말,yeon-mal,Year-End,0.3
영화,yeong-hwa,Movie,0.3
예쁘다,ye-ppu-da,Pretty,0.4
예상하다,ye-sang-ha-da,Expect,0.6
예약하다,ye-ak-ha-da,Reserve,0.6
오랜,o-raen,Long,0.4
외롭다,oel-lap-da,Lonely,0.5
요리사,yo-ri-sa,Chef,0.3
우정,u-jeong,Friendship,0.3
운동선수,un-dong-seon-su,Athlete,0.4
운전기사,un-jeon-gi-sa,Driver,0.4
음식,eum-sik,Food,0.3
음악,eum-ak,Music,0.3
의사,ui-sa,Doctor,0.3
이루다,i-ru-da,Accomplish,0.6
이야기,i-ya-gi,Story,0.3
읽다,ilk-da,Read,0.4
잃다,il-da,Lose,0.4
잊다,it-da,Forget,0.4
자르다,ja-reu-da,Cut,0.5
자연,ja-yeon,Nature,0.3
전문가,jeon-mun-ga,Specialist,0.4
전통,jeon-tong,Tradition,0.3
정서,jeong-seo,Emotion,0.3
조각,jo-gak,Sculpture,0.3
주부,ju-bu,Housewife,0.3
직장인,jig-jang-in,Office Worker,0.4
책,chaek,Book,0.2
체험,che-heom,Experience,0.3
축제,chuk-je,Festival,0.3
춤,chum,Dance,0.2
취미,chwi-mi,Hobby,0.3
친구,chin-gu,Friend,0.3
코치,ko-chi,Coach,0.3
테마파크,te-ma-pa-keu,Theme Park,0.4
패션,pae-syeon,Fashion,0.3
피크닉,pi-keu-nik,Picnic,0.4
회사원,hwe-sa-won,Company Employee,0.4
휴가,hyu-ga,Vacation,0.3
